name, party, region
Bodo Ramelow, Die Linke, Thüringen
Mike Mohring, CDU, Thüringen
Wolfgang Tiefensee, SPD, Thüringen
Björn Höcke, AfD, Thüringen
Anja Siegesmund, Grüne, Thüringen
Dirk Adams, Grüne, Thüringen
Thomas Kemmerich, FDP, Thüringen
Michael Kretschmer, CDU, Sachsen
Rico Gebhardt, Die Linke, Sachsen
Martin Dulig, SPD, Sachsen
Jörg Urban, AfD, Sachsen
Katja Meier, Grüne, Sachsen
Holger Zastrow, FDP, Sachsen
Dietmar Woidke, SPD, Brandenburg
Ingo Senftleben, CDU, Brandenburg
Kathrin Dannenberg, Die Linke, Brandenburg
Andreas Kalbitz, AfD, Brandenburg
Ursula Nonnemacher, Grüne, Brandenburg
Benjamin Raschke, Grüne, Brandenburg
Peter Goetz, FDP, Brandenburg
Péter Vida, FP, Brandenburg
