channel;url;type
Freistaat Thüringen;https://www.youtube.com/channel/UC_VRf3ED1kXRI1dguMffwoQ;government
Thüringer Umweltministerium;https://www.youtube.com/channel/UCBEqhMaENpKLonv-TmXSBeA;government
brandenburg.de;https://www.youtube.com/channel/UC_3Kldi5_QALcpvDpZ6O-sQ;government
Stadt Lauchhammer;https://www.youtube.com/channel/UCJWuuzCQr4aa3cqISG6-xWQ;government
FreistaatSachsen;https://www.youtube.com/channel/UCg1UFTB4qlE2w1SlZbz8fag;government
Bayern;https://www.youtube.com/channel/UCfdT0WlvDerbcQ5E0CjJAZA;government
Landesentwicklungsgesellschaft Thüringen mbH (LEG Thüringen);https://www.youtube.com/channel/UCXTs-OoZN_TztNV7A29QJMg;government
Klaus Dornath;https://www.youtube.com/channel/UCod6Xum-XGbXm2BCs4V42kQ;NA
Der Flügel;https://www.youtube.com/channel/UCg2ke2uaAKAfDHhyndNy8Sw;party
JenaTV;https://www.youtube.com/channel/UCnzRUNSPuudaANVGS1p2_XQ;news
Mediengruppe Thüringen;https://www.youtube.com/channel/UCq1dyQdwtexheC1QDJZfPyg;news
Thomas Krueger;https://www.youtube.com/channel/UCoAjfeBhtGhIGpIT1EjFa0A;NA
jumajuma.de;https://www.youtube.com/channel/UClrKsVM8yhRD_jMf_sC8z6w;NA
Rhoenkanal;https://www.youtube.com/channel/UCFePKR18oBQROuCu5I0PRKQ;NA
GrünLeben;https://www.youtube.com/channel/UCLRDUyZhcOkgqmybQgtrYug;NA
Franziska Schubert;https://www.youtube.com/channel/UCoDsF5yCf89DMLzqRvPCgvQ;party
InformedTrades;https://www.youtube.com/channel/UCxyD6SQNbe8sh-jqo8eTfEg;NA
Twinsisterproduction;https://www.youtube.com/channel/UCaTPdSZNwd9XeXW-Rusg3sg;NA
FIG Channel;https://www.youtube.com/channel/UCAM9Pvp3HzKvIAbAXHxidow;news
__________________________________;https://www.youtube.com/channel/UCqTEzSJ3sxB3tEoam0qMYDA;NA
ÖDP München;https://www.youtube.com/channel/UCcpVnLjEn04xi1sstXp4ILQ;party
Amistad de Puebla;https://www.youtube.com/channel/UCN_1K6ZL5mBOgrdM6gCkIRQ;NA
Cux-Clips Cuxhaven Videos von W. Rutz;https://www.youtube.com/channel/UCnx5I30_AG_c2YNTkEd89Wg;NA
Jeff Cobb;https://www.youtube.com/channel/UCAywD4M1tt78Swr7qPsFzIw;NA
EnBW-Oberliga Junioren;https://www.youtube.com/channel/UChYj-e8ZGY-QgGCFz-t-g1g;NA
ELBKICK.TV;https://www.youtube.com/channel/UC_ozPJsAmJKKNrucVFdZkYg;NA
Body-Xtreme;https://www.youtube.com/channel/UCN15StcvCcn8CWzxj5En5Vg;NA
Trap God;https://www.youtube.com/channel/UCrUkwxrjlTN0NxaEYGiDKTw;NA
Samuel Hernandez;https://www.youtube.com/channel/UCKrQoMOHkx89BU6hf0mv09w;NA
Chat With Traders;https://www.youtube.com/channel/UCdnzT5Tl6pAkATOiDsPhqcg;NA
Evangelista Gary Lee;https://www.youtube.com/channel/UCrZ9VgLsi-1iYMRenz_JFgQ;NA
Semilla Santa Mónica;https://www.youtube.com/channel/UCA0NS26URCYhmwnhRytnQtg;NA
cbintv;https://www.youtube.com/channel/UC8URsCht9yEKEYqkva5OTGg;NA
MONO BLACK MAGIC;https://www.youtube.com/channel/UCi3VPBRXVBcvI0OW1WDHlzw;NA
TraderFox.de;https://www.youtube.com/channel/UCWMiURb4QWPuc_TzEqqI3Hg;NA
MoneyShow;https://www.youtube.com/channel/UCLnjAUrBG0G5Z8oGae_yZKg;NA
TheoTrade, LLC;https://www.youtube.com/channel/UCzaQpnAyt-IHT7MKgT2WhaA;NA
Van Productions;https://www.youtube.com/channel/UCSbLAMngKrNjsG4f2lBjY1w;NA
European Graduate School Video Lectures;https://www.youtube.com/channel/UC1NpRGow8m-yrWo0Mqp6DOg;NA
Leichter Leben Zeit für mich! Fanmediathek;https://www.youtube.com/channel/UCpL7u4c7U8RB7gtA8mhNJqQ;NA
Dennis und Jesko;https://www.youtube.com/channel/UCVJc8RKxfX00EIFo1wwJ3ow;NA
Rayk Anders;https://www.youtube.com/channel/UCXdfGoYTQq5eQXP6OJwWSQw;news
kanal schnellroda;https://www.youtube.com/channel/UC-PmBc5R3HVD_Do_yO8ju2Q;NA
Privatinvestor TV;https://www.youtube.com/channel/UCcCXw6ZgJKIGnXkPHWwvdWw;NA
dbate;https://www.youtube.com/channel/UCpqaG-ZjdsNm_brR8rfC_Cw;news
teltOwkanal;https://www.youtube.com/channel/UCNGTCU7OvpRnGRkELshDZAg;news
Løweñheṛz;https://www.youtube.com/channel/UCS2aEUW4gNv2gxklIFUhB9Q;NA
MrMarxismo;https://www.youtube.com/channel/UCtetxOGbXXz8Qe27g7Fs8fQ;NA
buten un binnen;https://www.youtube.com/channel/UCP3r8XOq_eVBhDZaxojW4tw;news
Ihr Programm;https://www.youtube.com/channel/UCPehgrrD9-yWBdrUa_QCweQ;NA
einprozentfilm;https://www.youtube.com/channel/UCDVMut6Xd5duYCxBHHwwJTA;NA
LDVC;https://www.youtube.com/channel/UCJVIv0VSNutM5tGEC_8bu0g;NA
Double Dragon Cinema;https://www.youtube.com/channel/UC_H2tvYbRdzgi3OxTkKHMUw;NA
videomoz;https://www.youtube.com/channel/UCLDCHoRj7qlR_sttg-mZFnw;NA
Rene Falkner;https://www.youtube.com/channel/UC6q9DzruyKbACW_HK6hew_Q;NA
Cherno Jobatey;https://www.youtube.com/channel/UCvdRldX-D2x0ttdhzA1_aXA;NA
KW TV;https://www.youtube.com/channel/UCb202qpN8Wqphu8HRJLXERQ;NA
OWF.ZUKUNFT;https://www.youtube.com/channel/UC-wShsSHVrtNleTvNb9_x2A;NA
SAP Innovation Center Network;https://www.youtube.com/channel/UCrRF0mlC4B-A-ppr_UtH45Q;NA
TKSzeit;https://www.youtube.com/channel/UCk23LEtTLjU7UCDpN74X74Q;NA
Opa Wuschel;https://www.youtube.com/channel/UC-Q4Fm1xnMJrDCA6urbjOMA;NA
Video Oelsner;https://www.youtube.com/channel/UCwnUH_8G97EWmPpqNr0XRvg;NA
tripletcities;https://www.youtube.com/channel/UCqutX-R8yqJAlZjZUOCd6wg;NA
MrButzimann;https://www.youtube.com/channel/UCjdfNO2KyfVMV4-Ad8CJ-PA;NA
marktreller;https://www.youtube.com/channel/UCqSCNZ5Td7M7r64sCFkHmGw;NA
Neue Horizonte;https://www.youtube.com/channel/UC-zK3cJdazy01AKTu8g_amg;NA
Starbulls Rosenheim;https://www.youtube.com/channel/UCxEFpQKIbRYKwhbhRvQ7grQ;NA
Indigo Kristall;https://www.youtube.com/channel/UCf4EMg_v-6RYtitZtNNWXeA;NA
Gustav Peter Wöhler Band;https://www.youtube.com/channel/UCaASiZ8L2At-8dvaShhmHBQ;NA
Marius Mutin;https://www.youtube.com/channel/UCV6s3_LNR6ryAm82DoCXczA;NA
Salon im Cafe Luitpold;https://www.youtube.com/channel/UCJVSDHI5EeUPjKih325qGFw;NA
WochenENDspiegel;https://www.youtube.com/channel/UCt_ja7u7GtD9EJJS0Omtr6Q;NA
Politiklive;https://www.youtube.com/channel/UCwJwsqYija61p_Vx7wf6boA;NA
Kevin Lauert;https://www.youtube.com/channel/UC_i1qjXtnSfXmOzIErUF-aA;NA
Asoziales Netzwerk - Sektion Oberbayern;https://www.youtube.com/channel/UCoxLFiefpRvEksiVB5SNTSQ;NA
WMZtv Seenland;https://www.youtube.com/channel/UC3d3Ztak3uNkeV5BNocEQzQ;NA
machsab16;https://www.youtube.com/channel/UCzjQxN6r8KdfkN5Z-pMI8Kg;NA
Günter Grützner;https://www.youtube.com/channel/UCFgovearWM4Qh7hqgWGCp9Q;NA
WIRmachenDRUCK GmbH;https://www.youtube.com/channel/UCftmHbSwvcUMb13KIk5xTQA;NA
AzA;https://www.youtube.com/channel/UCHtBVSFcDJVBY-UkxtVDt_g;NA
L Podder;https://www.youtube.com/channel/UCcGbwF9RJ-bxBTK9D1Flnrw;NA
GRB;https://www.youtube.com/channel/UClaQQMzLnNOYFjP3qBMxE6w;NA
Ingo ohne Flamingo;https://www.youtube.com/channel/UCmWrBjmB6WCoLB4MTaqLBEQ;NA
Andreas Dorfmann;https://www.youtube.com/channel/UCDYMh3IvACfdFGOv6dPEqAg;NA
Clemens Viehrig;https://www.youtube.com/channel/UCTsoO4J7MQO5RGmuu3Y8Swg;NA
Goal DTC;https://www.youtube.com/channel/UCAOmXwVn8owZXNroz6hOfrQ;NA
Dieter Röseler;https://www.youtube.com/channel/UC60nb0aYIkwCeBsEio-IzjQ;NA
RT Zapper;https://www.youtube.com/channel/UCByO_g0EL7p1AUDRXlN68GQ;NA
Sebasté;https://www.youtube.com/channel/UCfa0RRoPI7anabHMII6hRhw;NA
Paddy's Microkosmos;https://www.youtube.com/channel/UCdzL665A1jpNDVE7N2_FoKQ;NA
